"filename", "language", "JSON", "CSV", "Markdown", "Python", "PostCSS", "JavaScript JSX", "JavaScript", "HTML", "XML", "C++", "Properties", "reStructuredText", "Makefile", "CMake", "C", "Shell Script", "pip requirements", "MS SQL", "comment", "blank", "total"
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\12\function.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\12\function_return.py", "Python", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\sample_folder\calc.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\sample_folder\hello.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\text_game.py", "Python", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 264
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\ReadMe.md", "Markdown", 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 501
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\00_energy.ipynb", "JSON", 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 432
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\analysis_energy(R).ipynb", "JSON", 3692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3693
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\data_visu.ipynb", "JSON", 820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 821
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\energy_analysis(remake).ipynb", "JSON", 990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 991
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\long_format_DF(sample).ipynb", "JSON", 2611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2612
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\long_merge.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 57
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\preprocess_outputs\energy_pr(sample).ipynb", "JSON", 395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 396
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\preprocess_outputs\preprocessing.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 32
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\_artifacts\schema.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\policy\강원도_행정구역 현황 통계_20200803.csv", "CSV", 0, 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 542
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\policy\한국언론진흥재단_뉴스빅데이터_메타데이터_뉴딜정책_20210731.csv", "CSV", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\policy\한국전력거래소_지역별 에너지저장장치(ESS) 일단위 충전 및 방전 실적_20240930.csv", "CSV", 0, 8297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8298
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\energy\신·재생_에너지생산량_강원_20251215135106.csv", "CSV", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\energy\지역별_신·재생에너지_보급용량_발전누적__20251215134828.csv", "CSV", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\energy\지역별_신·재생에너지_보급용량_발전신규__20251215135000.csv", "CSV", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\energy\한국에너지공단_기초지자체별 신재생에너지 보급 현황.csv", "CSV", 0, 3655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3656
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\policy\한국에너지공단_재생에너지 사용 확인제도 참여 현황_20241108.csv", "CSV", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(강릉)_월별강수량_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(강릉)_월별기온_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(강릉)_월별풍속_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(강릉)_월일조일사_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(대관령)_월별강수량_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(대관령)_월별기온_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(대관령)_월별풍속_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(대관령)_월일조일사_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(동해)_월별강수량_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\dkreh\Desktop\KDT_RE_5th\3_Data_Analysis_Project\01_DataAnalysis\data\raw\weather\강원도(동해)_월별기온_(2020-2025).csv", "CSV", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
